experiment,epoch,lr,loss,acc,val_loss,val_acc
2.0,81.0,0.0001,0.03586515121293362,0.993581514762516,7.016676500439644,0.8156746031746033
2.0,82.0,0.0001,0.061944373299477155,0.9917476618375206,6.946336371824145,0.8157738095238095
2.0,83.0,0.0001,0.0448911337615583,0.9930313588850174,6.71203750371933,0.8261904761904763
2.0,84.0,0.0001,0.029767294402987678,0.9952319823950119,7.008465230464935,0.7981150793650793
2.0,85.0,0.0001,0.036267055941644345,0.9948652118100129,6.641072250902653,0.8297619047619048
2.0,86.0,0.0001,0.06229956597076403,0.9922978177150192,6.384903386235237,0.812202380952381
2.0,87.0,0.0001,0.06663598391123149,0.991197505960022,6.202373579144478,0.8191468253968254
2.0,88.0,0.0001,0.06238090317268929,0.9891802677425271,6.209875673055649,0.8156746031746032
2.0,89.0,0.0001,0.06035987558930865,0.9893636530350266,7.4635085463523865,0.8191468253968254
2.0,90.0,0.0001,0.07820631413291172,0.9900971942050247,6.885780617594719,0.8261904761904761
2.0,91.0,0.0001,0.05518168386349426,0.9913808912525216,7.100620657205582,0.8017857142857143
2.0,92.0,0.0001,0.07973082171944178,0.9882633412800294,8.017226159572601,0.7806547619047619
2.0,93.0,0.0001,0.06145667754831278,0.9926645883000184,7.087763339281082,0.7946428571428571
2.0,94.0,0.0001,0.07084018306820034,0.9891802677425271,6.7204857766628265,0.8086309523809525
2.0,95.0,0.0001,0.07504109069500056,0.9893636530350266,6.559831529855728,0.8295634920634921
2.0,96.0,0.0001,0.04003129466149863,0.9939482853475151,6.930909991264343,0.8260912698412699
2.0,97.0,0.0001,0.03732289031424656,0.9939482853475151,7.380925953388214,0.812202380952381
2.0,98.0,0.0001,0.05049324153980432,0.9928479735925179,6.684264317154884,0.8052579365079365
2.0,99.0,0.0001,0.043905387550043605,0.9924812030075187,6.812164545059204,0.8260912698412699
2.0,100.0,0.0001,0.06138036803326387,0.9926645883000184,6.580158621072769,0.8189484126984126
