experiment,epoch,lr,loss,acc,val_loss,val_acc
1.0,1.0,0.0001,1.8649415297117846,0.4153676875114616,1.2645988464355469,0.5750448028673836
1.0,2.0,0.0001,1.180605775780148,0.6057216211259857,1.0186526377995808,0.6726030465949822
1.0,3.0,0.0001,0.9058380674200448,0.6889785439207775,0.7776590122116936,0.7387992831541219
1.0,4.0,0.0001,0.6662617290054845,0.7870896754080323,0.6217829419506921,0.8086917562724014
1.0,5.0,0.0001,0.5558308064066179,0.8202824133504493,0.5383149749702878,0.8192204301075269
1.0,6.0,0.0001,0.4810444364073681,0.8454061984228864,0.6026992003122965,0.8120519713261649
1.0,7.0,0.0001,0.432621880755787,0.8580597836053548,0.5667370557785034,0.8259408602150538
1.0,8.0,0.0001,0.41063905219759855,0.8646616541353384,0.813756169544326,0.8122759856630825
1.0,9.0,0.0001,0.3504327151336168,0.8839171098477903,0.6300107489029566,0.836581541218638
1.0,10.0,0.0001,0.32732752841292767,0.8908857509627728,0.5959548701842626,0.8122759856630825
1.0,11.0,0.0001,0.31847096722551255,0.8954703832752613,0.6588225099775527,0.808915770609319
1.0,12.0,0.0001,0.28392727280917923,0.9040894920227398,0.7684116760889689,0.8085797491039427
1.0,13.0,0.0001,0.2532760654712281,0.9165596919127086,0.8425566189818912,0.7668010752688172
1.0,14.0,0.0001,0.22018673013873966,0.9270126535851825,0.5908418330881331,0.8538306451612904
1.0,15.0,0.0001,0.20873180293200308,0.9282963506326792,0.6348516245683035,0.8434139784946236
1.0,16.0,0.0001,0.16776602162995882,0.9442508710801394,0.7658186687363518,0.801747311827957
1.0,17.0,0.0001,0.152698214225776,0.949202273977627,0.6021870209111108,0.8435259856630825
1.0,18.0,0.0001,0.13442795486216658,0.9578213827251054,0.6448104149765439,0.8295250896057348
1.0,19.0,0.0001,0.12801737328501125,0.9576379974326059,0.6610324084758759,0.8331093189964158
1.0,20.0,0.0001,0.0943205087984863,0.9699248120300752,0.7896930343574948,0.8052195340501792
1.0,21.0,0.0001,0.08883114423798888,0.9728589767100678,0.8119247390164269,0.794578853046595
1.0,22.0,0.0001,0.08287997397850132,0.9759765266825601,0.858736170662774,0.7979390681003584
1.0,23.0,0.0001,0.07165767004637168,0.9767100678525582,0.7134531372123294,0.8225806451612904
1.0,24.0,0.0001,0.06462323959720762,0.9805611589950486,0.8653558194637299,0.801747311827957
1.0,25.0,0.0001,0.06122167089311351,0.9834953236750412,0.8203019052743912,0.8400537634408602
1.0,26.0,0.0001,0.06411362631921792,0.9798276178250505,0.785355892446306,0.8225806451612904
1.0,27.0,0.0001,0.06073386430173938,0.9814780854575463,0.8101843562391069,0.8154121863799283
1.0,28.0,0.0001,0.04484211931778499,0.9877131854025307,0.8425692849689059,0.8157482078853047
1.0,29.0,0.0001,0.0287942815318769,0.9928479735925179,0.9129516747262743,0.8156362007168458
1.0,30.0,0.0001,0.03030013748613453,0.9924812030075187,0.8303238534265094,0.8296370967741935
1.0,31.0,0.0001,0.047180506735713335,0.9871630295250321,0.843726760811276,0.832997311827957
1.0,32.0,0.0001,0.08294559625788914,0.9726755914175683,0.80625119805336,0.836581541218638
1.0,33.0,0.0001,0.04873438913113715,0.9858793324775353,0.8177321884367201,0.8261648745519713
1.0,34.0,0.0001,0.04874248717426818,0.9853291766000367,0.8707715339130826,0.8084677419354839
